GEO,AGE,SEX,HRPROF,UNIT,Value
Nova Scotia,65 +,Both,PTSD,Percent,0.016
Nova Scotia,65 +,Males,Any Disorder,Number,40248
Nova Scotia,65 +,Males,Any Disorder,Percent,0.10800000000000001
Nova Scotia,65 +,Males,Depression,Number,32266
Nova Scotia,65 +,Males,Depression,Percent,0.087
Nova Scotia,65 +,Males,Bipolar,Number,14059
Nova Scotia,65 +,Males,Bipolar,Percent,0.038
Nova Scotia,65 +,Males,Anxiety,Number,28811
Nova Scotia,65 +,Males,Anxiety,Percent,0.077
Nova Scotia,65 +,Males,Any Substance,Number,169395
Nova Scotia,65 +,Males,Any Substance,Percent,0.466
Nova Scotia,65 +,Males,Alcohol,Number,155265
Nova Scotia,65 +,Males,Alcohol,Percent,0.426
Nova Scotia,65 +,Males,Cannabis,Number,52922
Nova Scotia,65 +,Males,Cannabis,Percent,0.14300000000000002
Nova Scotia,65 +,Males,Other,Number,25787
Nova Scotia,65 +,Males,Other,Percent,0.07
Nova Scotia,65 +,Males,Suicidal,Number,44542
Nova Scotia,65 +,Males,Suicidal,Percent,0.11900000000000001
Nova Scotia,65 +,Males,Good Mental Health,Number,241603
Nova Scotia,65 +,Males,Good Mental Health,Percent,0.647
Nova Scotia,65 +,Males,Poor Mental Health,Number,29780
Nova Scotia,65 +,Males,Poor Mental Health,Percent,0.08
Nova Scotia,65 +,Males,High Stress,Number,58257
Nova Scotia,65 +,Males,High Stress,Percent,0.21600000000000003
Nova Scotia,65 +,Males,Low Stress,Number,90296
Nova Scotia,65 +,Males,Low Stress,Percent,0.33399999999999996
Nova Scotia,65 +,Males,Needs Met,Number,35552
Nova Scotia,65 +,Males,Needs Met,Percent,0.095
Nova Scotia,65 +,Males,Needs not Met,Number,5490
Nova Scotia,65 +,Males,Needs not Met,Percent,0.015
Nova Scotia,65 +,Males,Accessed care (past year),Number,32720
Nova Scotia,65 +,Males,Accessed care (past year),Percent,0.08800000000000001
Nova Scotia,65 +,Males,Psychosis,Number,6020
Nova Scotia,65 +,Males,Psychosis,Percent,0.016
Nova Scotia,65 +,Males,PTSD,Number,NA
Nova Scotia,65 +,Males,PTSD,Percent,NA
Nova Scotia,65 +,Females,Any Disorder,Number,63816
Nova Scotia,65 +,Females,Any Disorder,Percent,0.158
Nova Scotia,65 +,Females,Depression,Number,55851
Nova Scotia,65 +,Females,Depression,Percent,0.138
Nova Scotia,65 +,Females,Bipolar,Number,13577
Nova Scotia,65 +,Females,Bipolar,Percent,0.034
Nova Scotia,65 +,Females,Anxiety,Number,53767
Nova Scotia,65 +,Females,Anxiety,Percent,0.132
Nova Scotia,65 +,Females,Any Substance,Number,60450
Nova Scotia,65 +,Females,Any Substance,Percent,0.152
Nova Scotia,65 +,Females,Alcohol,Number,49707
Nova Scotia,65 +,Females,Alcohol,Percent,0.124
Nova Scotia,65 +,Females,Cannabis,Number,20434
Nova Scotia,65 +,Females,Cannabis,Percent,0.05
Nova Scotia,65 +,Females,Other,Number,8582
Nova Scotia,65 +,Females,Other,Percent,0.021
Nova Scotia,65 +,Females,Suicidal,Number,54365
Nova Scotia,65 +,Females,Suicidal,Percent,0.134
Nova Scotia,65 +,Females,Good Mental Health,Number,237192
Nova Scotia,65 +,Females,Good Mental Health,Percent,0.583
Nova Scotia,65 +,Females,Poor Mental Health,Number,39463
Nova Scotia,65 +,Females,Poor Mental Health,Percent,0.09699999999999999
Nova Scotia,65 +,Females,High Stress,Number,69283
Nova Scotia,65 +,Females,High Stress,Percent,0.271
Nova Scotia,65 +,Females,Low Stress,Number,76183
Nova Scotia,65 +,Females,Low Stress,Percent,0.297
Nova Scotia,65 +,Females,Needs Met,Number,70948
Nova Scotia,65 +,Females,Needs Met,Percent,0.17600000000000002
Nova Scotia,65 +,Females,Needs not Met,Number,14061
Nova Scotia,65 +,Females,Needs not Met,Percent,0.035
Nova Scotia,65 +,Females,Accessed care (past year),Number,61255
Nova Scotia,65 +,Females,Accessed care (past year),Percent,0.151
Nova Scotia,65 +,Females,Psychosis,Number,NA
Nova Scotia,65 +,Females,Psychosis,Percent,NA
Nova Scotia,65 +,Females,PTSD,Number,NA
Nova Scotia,65 +,Females,PTSD,Percent,NA
Nova Scotia,Total,Both,Any Disorder,Number,15218
Nova Scotia,Total,Both,Any Disorder,Percent,0.13
Nova Scotia,Total,Both,Depression,Number,9716
Nova Scotia,Total,Both,Depression,Percent,0.083
Nova Scotia,Total,Both,Bipolar,Number,NA
Nova Scotia,Total,Both,Bipolar,Percent,NA
Nova Scotia,Total,Both,Anxiety,Number,12053
Nova Scotia,Total,Both,Anxiety,Percent,0.102
Nova Scotia,Total,Both,Any Substance,Number,35180
Nova Scotia,Total,Both,Any Substance,Percent,0.309
Nova Scotia,Total,Both,Alcohol,Number,25932
Nova Scotia,Total,Both,Alcohol,Percent,0.226
Nova Scotia,Total,Both,Cannabis,Number,19094
Nova Scotia,Total,Both,Cannabis,Percent,0.163
Nova Scotia,Total,Both,Other,Number,7820
Nova Scotia,Total,Both,Other,Percent,0.067
Nova Scotia,Total,Both,Suicidal,Number,17603
Nova Scotia,Total,Both,Suicidal,Percent,0.15
Nova Scotia,Total,Both,Good Mental Health,Number,70070
Nova Scotia,Total,Both,Good Mental Health,Percent,0.594
Nova Scotia,Total,Both,Poor Mental Health,Number,13658
Nova Scotia,Total,Both,Poor Mental Health,Percent,0.11599999999999999
Nova Scotia,Total,Both,High Stress,Number,16055
Nova Scotia,Total,Both,High Stress,Percent,0.185
Nova Scotia,Total,Both,Low Stress,Number,36687
Nova Scotia,Total,Both,Low Stress,Percent,0.42200000000000004
Nova Scotia,Total,Both,Needs Met,Number,14107
Nova Scotia,Total,Both,Needs Met,Percent,0.121
Nova Scotia,Total,Both,Needs not Met,Number,NA
Nova Scotia,Total,Both,Needs not Met,Percent,NA
Nova Scotia,Total,Both,Accessed care (past year),Number,18169
Nova Scotia,Total,Both,Accessed care (past year),Percent,0.155
Nova Scotia,Total,Both,Psychosis,Number,NA
Nova Scotia,Total,Both,Psychosis,Percent,NA
Nova Scotia,Total,Both,PTSD,Number,NA
Nova Scotia,Total,Both,PTSD,Percent,NA
Nova Scotia,Total,Males,Any Disorder,Number,7058
Nova Scotia,Total,Males,Any Disorder,Percent,0.11900000000000001
Nova Scotia,Total,Males,Depression,Number,NA
Nova Scotia,Total,Males,Depression,Percent,NA
Nova Scotia,Total,Males,Bipolar,Number,NA
Nova Scotia,Total,Males,Bipolar,Percent,NA
Nova Scotia,Total,Males,Anxiety,Number,NA
Nova Scotia,Total,Males,Anxiety,Percent,NA
Nova Scotia,Total,Males,Any Substance,Number,23703
Nova Scotia,Total,Males,Any Substance,Percent,0.40399999999999997
Nova Scotia,Total,Males,Alcohol,Number,16146
Nova Scotia,Total,Males,Alcohol,Percent,0.27699999999999997
Nova Scotia,Total,Males,Cannabis,Number,13362
Nova Scotia,Total,Males,Cannabis,Percent,0.226
Nova Scotia,Total,Males,Other,Number,NA
Nova Scotia,Total,Males,Other,Percent,NA
Nova Scotia,Total,Males,Suicidal,Number,9150
Nova Scotia,Total,Males,Suicidal,Percent,0.154
Nova Scotia,Total,Males,Good Mental Health,Number,38866
Nova Scotia,Total,Males,Good Mental Health,Percent,0.655
Nova Scotia,Total,Males,Poor Mental Health,Number,NA
Nova Scotia,Total,Males,Poor Mental Health,Percent,NA
Nova Scotia,Total,Males,High Stress,Number,10557
Nova Scotia,Total,Males,High Stress,Percent,0.223
Nova Scotia,Total,Males,Low Stress,Number,20411
Nova Scotia,Total,Males,Low Stress,Percent,0.431
Nova Scotia,Total,Males,Needs Met,Number,NA
Nova Scotia,Total,Males,Needs Met,Percent,NA
Nova Scotia,Total,Males,Needs not Met,Number,NA
Nova Scotia,Total,Males,Needs not Met,Percent,NA
Nova Scotia,Total,Males,Accessed care (past year),Number,NA
Nova Scotia,Total,Males,Accessed care (past year),Percent,NA
Nova Scotia,Total,Males,Psychosis,Number,NA
Nova Scotia,Total,Males,Psychosis,Percent,NA
Nova Scotia,Total,Males,PTSD,Number,NA
Nova Scotia,Total,Males,PTSD,Percent,NA
Nova Scotia,Total,Females,Any Disorder,Number,8160
Nova Scotia,Total,Females,Any Disorder,Percent,0.141
Nova Scotia,Total,Females,Depression,Number,4921
Nova Scotia,Total,Females,Depression,Percent,0.085
Nova Scotia,Total,Females,Bipolar,Number,NA
Nova Scotia,Total,Females,Bipolar,Percent,NA
Nova Scotia,Total,Females,Anxiety,Number,4527
Nova Scotia,Total,Females,Anxiety,Percent,0.077
Nova Scotia,Total,Females,Any Substance,Number,11477
Nova Scotia,Total,Females,Any Substance,Percent,0.20800000000000002
Nova Scotia,Total,Females,Alcohol,Number,9786
Nova Scotia,Total,Females,Alcohol,Percent,0.17300000000000001
Nova Scotia,Total,Females,Cannabis,Number,5732
Nova Scotia,Total,Females,Cannabis,Percent,0.099
Nova Scotia,Total,Females,Other,Number,NA
Nova Scotia,Total,Females,Other,Percent,NA
Nova Scotia,Total,Females,Suicidal,Number,8453
Nova Scotia,Total,Females,Suicidal,Percent,0.146
Nova Scotia,Total,Females,Good Mental Health,Number,31203
Nova Scotia,Total,Females,Good Mental Health,Percent,0.532
Nova Scotia,Total,Females,Poor Mental Health,Number,7064
Nova Scotia,Total,Females,Poor Mental Health,Percent,0.12
Nova Scotia,Total,Females,High Stress,Number,5498
Nova Scotia,Total,Females,High Stress,Percent,0.139
Nova Scotia,Total,Females,Low Stress,Number,16276
Nova Scotia,Total,Females,Low Stress,Percent,0.41200000000000003
Nova Scotia,Total,Females,Needs Met,Number,5657
Nova Scotia,Total,Females,Needs Met,Percent,0.099
Nova Scotia,Total,Females,Needs not Met,Number,NA
Nova Scotia,Total,Females,Needs not Met,Percent,NA
Nova Scotia,Total,Females,Accessed care (past year),Number,9813
Nova Scotia,Total,Females,Accessed care (past year),Percent,0.16899999999999998
Nova Scotia,Total,Females,Psychosis,Number,NA
Nova Scotia,Total,Females,Psychosis,Percent,NA
Nova Scotia,Total,Females,PTSD,Number,NA
Nova Scotia,Total,Females,PTSD,Percent,NA
Nova Scotia,15 to 24,Both,Any Disorder,Number,42618
Nova Scotia,15 to 24,Both,Any Disorder,Percent,0.192
Nova Scotia,15 to 24,Both,Depression,Number,40012
Nova Scotia,15 to 24,Both,Depression,Percent,0.18
Nova Scotia,15 to 24,Both,Bipolar,Number,7030
Nova Scotia,15 to 24,Both,Bipolar,Percent,0.032
Nova Scotia,15 to 24,Both,Anxiety,Number,24801
Nova Scotia,15 to 24,Both,Anxiety,Percent,0.11199999999999999
Nova Scotia,15 to 24,Both,Any Substance,Number,75788
Nova Scotia,15 to 24,Both,Any Substance,Percent,0.34600000000000003
Nova Scotia,15 to 24,Both,Alcohol,Number,63515
Nova Scotia,15 to 24,Both,Alcohol,Percent,0.29
Nova Scotia,15 to 24,Both,Cannabis,Number,31125
Nova Scotia,15 to 24,Both,Cannabis,Percent,0.141
Nova Scotia,15 to 24,Both,Other,Number,14782
Nova Scotia,15 to 24,Both,Other,Percent,0.067
Nova Scotia,15 to 24,Both,Suicidal,Number,36954
Nova Scotia,15 to 24,Both,Suicidal,Percent,0.166
Nova Scotia,15 to 24,Both,Good Mental Health,Number,139380
Nova Scotia,15 to 24,Both,Good Mental Health,Percent,0.626
Nova Scotia,15 to 24,Both,Poor Mental Health,Number,22782
Nova Scotia,15 to 24,Both,Poor Mental Health,Percent,0.102
Nova Scotia,15 to 24,Both,High Stress,Number,54653
Nova Scotia,15 to 24,Both,High Stress,Percent,0.271
Nova Scotia,15 to 24,Both,Low Stress,Number,55397
Nova Scotia,15 to 24,Both,Low Stress,Percent,0.275
Nova Scotia,15 to 24,Both,Needs Met,Number,40948
Nova Scotia,15 to 24,Both,Needs Met,Percent,0.184
Nova Scotia,15 to 24,Both,Needs not Met,Number,8264
Nova Scotia,15 to 24,Both,Needs not Met,Percent,0.037000000000000005
Nova Scotia,15 to 24,Both,Accessed care (past year),Number,41636
Nova Scotia,15 to 24,Both,Accessed care (past year),Percent,0.187
Nova Scotia,15 to 24,Both,Psychosis,Number,NA
Nova Scotia,15 to 24,Both,Psychosis,Percent,NA
Nova Scotia,15 to 24,Both,PTSD,Number,NA
Nova Scotia,15 to 24,Both,PTSD,Percent,NA
Nova Scotia,15 to 24,Males,Any Disorder,Number,16049
Nova Scotia,15 to 24,Males,Any Disorder,Percent,0.153
Nova Scotia,15 to 24,Males,Depression,Number,14746
Nova Scotia,15 to 24,Males,Depression,Percent,0.14
Nova Scotia,15 to 24,Males,Bipolar,Number,4711
Nova Scotia,15 to 24,Males,Bipolar,Percent,0.045
Nova Scotia,15 to 24,Males,Anxiety,Number,8493
Nova Scotia,15 to 24,Males,Anxiety,Percent,0.081
Nova Scotia,15 to 24,Males,Any Substance,Number,50749
Nova Scotia,15 to 24,Males,Any Substance,Percent,0.49200000000000005
Nova Scotia,15 to 24,Males,Alcohol,Number,44937
Nova Scotia,15 to 24,Males,Alcohol,Percent,0.434
Nova Scotia,15 to 24,Males,Cannabis,Number,19456
Nova Scotia,15 to 24,Males,Cannabis,Percent,0.188
Nova Scotia,15 to 24,Males,Other,Number,12016
Nova Scotia,15 to 24,Males,Other,Percent,0.115
Nova Scotia,15 to 24,Males,Suicidal,Number,14677
Nova Scotia,15 to 24,Males,Suicidal,Percent,0.14
Nova Scotia,15 to 24,Males,Good Mental Health,Number,74866
Nova Scotia,15 to 24,Males,Good Mental Health,Percent,0.7120000000000001
Nova Scotia,15 to 24,Males,Poor Mental Health,Number,7788
Nova Scotia,15 to 24,Males,Poor Mental Health,Percent,0.07400000000000001
Nova Scotia,15 to 24,Males,High Stress,Number,22220
Nova Scotia,15 to 24,Males,High Stress,Percent,0.225
Nova Scotia,15 to 24,Males,Low Stress,Number,28709
Nova Scotia,15 to 24,Males,Low Stress,Percent,0.29
Nova Scotia,15 to 24,Males,Needs Met,Number,14108
Nova Scotia,15 to 24,Males,Needs Met,Percent,0.134
Nova Scotia,15 to 24,Males,Needs not Met,Number,NA
Nova Scotia,15 to 24,Males,Needs not Met,Percent,NA
Nova Scotia,15 to 24,Males,Accessed care (past year),Number,12970
Nova Scotia,15 to 24,Males,Accessed care (past year),Percent,0.12300000000000001
Nova Scotia,15 to 24,Males,Psychosis,Number,NA
Nova Scotia,15 to 24,Males,Psychosis,Percent,NA
Nova Scotia,15 to 24,Males,PTSD,Number,NA
Nova Scotia,15 to 24,Males,PTSD,Percent,NA
Nova Scotia,15 to 24,Females,Any Disorder,Number,26569
Nova Scotia,15 to 24,Females,Any Disorder,Percent,0.226
Nova Scotia,15 to 24,Females,Depression,Number,25266
Nova Scotia,15 to 24,Females,Depression,Percent,0.215
Nova Scotia,15 to 24,Females,Bipolar,Number,NA
Nova Scotia,15 to 24,Females,Bipolar,Percent,NA
Nova Scotia,15 to 24,Females,Anxiety,Number,16308
Nova Scotia,15 to 24,Females,Anxiety,Percent,0.139
Nova Scotia,15 to 24,Females,Any Substance,Number,25039
Nova Scotia,15 to 24,Females,Any Substance,Percent,0.21600000000000003
Nova Scotia,15 to 24,Females,Alcohol,Number,18578
Nova Scotia,15 to 24,Females,Alcohol,Percent,0.161
Nova Scotia,15 to 24,Females,Cannabis,Number,11669
Nova Scotia,15 to 24,Females,Cannabis,Percent,0.1
Nova Scotia,15 to 24,Females,Other,Number,NA
Nova Scotia,15 to 24,Females,Other,Percent,NA
Nova Scotia,15 to 24,Females,Suicidal,Number,22277
Nova Scotia,15 to 24,Females,Suicidal,Percent,0.19
Nova Scotia,15 to 24,Females,Good Mental Health,Number,64514
Nova Scotia,15 to 24,Females,Good Mental Health,Percent,0.5489999999999999
Nova Scotia,15 to 24,Females,Poor Mental Health,Number,14994
Nova Scotia,15 to 24,Females,Poor Mental Health,Percent,0.128
Nova Scotia,15 to 24,Females,High Stress,Number,32433
Nova Scotia,15 to 24,Females,High Stress,Percent,0.316
Nova Scotia,15 to 24,Females,Low Stress,Number,26688
Nova Scotia,15 to 24,Females,Low Stress,Percent,0.26
Nova Scotia,15 to 24,Females,Needs Met,Number,26840
Nova Scotia,15 to 24,Females,Needs Met,Percent,0.22899999999999998
Nova Scotia,15 to 24,Females,Needs not Met,Number,6297
Nova Scotia,15 to 24,Females,Needs not Met,Percent,0.054000000000000006
Nova Scotia,15 to 24,Females,Accessed care (past year),Number,28666
Nova Scotia,15 to 24,Females,Accessed care (past year),Percent,0.244
Nova Scotia,15 to 24,Females,Psychosis,Number,NA
Nova Scotia,15 to 24,Females,Psychosis,Percent,NA
Nova Scotia,15 to 24,Females,PTSD,Number,NA
Nova Scotia,15 to 24,Females,PTSD,Percent,NA
Nova Scotia,25 to 44,Both,Any Disorder,Number,35519
Nova Scotia,25 to 44,Both,Any Disorder,Percent,0.125
Nova Scotia,25 to 44,Both,Depression,Number,27681
Nova Scotia,25 to 44,Both,Depression,Percent,0.09699999999999999
Nova Scotia,25 to 44,Both,Bipolar,Number,NA
Nova Scotia,25 to 44,Both,Bipolar,Percent,NA
Nova Scotia,25 to 44,Both,Anxiety,Number,37887
Nova Scotia,25 to 44,Both,Anxiety,Percent,0.134
Nova Scotia,25 to 44,Both,Any Substance,Number,90399
Nova Scotia,25 to 44,Both,Any Substance,Percent,0.327
Nova Scotia,25 to 44,Both,Alcohol,Number,87552
Nova Scotia,25 to 44,Both,Alcohol,Percent,0.314
Nova Scotia,25 to 44,Both,Cannabis,Number,21752
Nova Scotia,25 to 44,Both,Cannabis,Percent,0.077
Nova Scotia,25 to 44,Both,Other,Number,10868
Nova Scotia,25 to 44,Both,Other,Percent,0.038
Nova Scotia,25 to 44,Both,Suicidal,Number,35787
Nova Scotia,25 to 44,Both,Suicidal,Percent,0.126
Nova Scotia,25 to 44,Both,Good Mental Health,Number,168809
Nova Scotia,25 to 44,Both,Good Mental Health,Percent,0.5920000000000001
Nova Scotia,25 to 44,Both,Poor Mental Health,Number,23908
Nova Scotia,25 to 44,Both,Poor Mental Health,Percent,0.084
Nova Scotia,25 to 44,Both,High Stress,Number,55980
Nova Scotia,25 to 44,Both,High Stress,Percent,0.264
Nova Scotia,25 to 44,Both,Low Stress,Number,60016
Nova Scotia,25 to 44,Both,Low Stress,Percent,0.28300000000000003
Nova Scotia,25 to 44,Both,Needs Met,Number,40720
Nova Scotia,25 to 44,Both,Needs Met,Percent,0.14400000000000002
Nova Scotia,25 to 44,Both,Needs not Met,Number,NA
Nova Scotia,25 to 44,Both,Needs not Met,Percent,NA
Nova Scotia,25 to 44,Both,Accessed care (past year),Number,28786
Nova Scotia,25 to 44,Both,Accessed care (past year),Percent,0.10099999999999999
Nova Scotia,25 to 44,Both,Psychosis,Number,NA
Nova Scotia,25 to 44,Both,Psychosis,Percent,NA
Nova Scotia,25 to 44,Both,PTSD,Number,NA
Nova Scotia,25 to 44,Both,PTSD,Percent,NA
Nova Scotia,25 to 44,Males,Any Disorder,Number,13552
Nova Scotia,25 to 44,Males,Any Disorder,Percent,0.098
Nova Scotia,25 to 44,Males,Depression,Number,9136
Nova Scotia,25 to 44,Males,Depression,Percent,0.066
Nova Scotia,25 to 44,Males,Bipolar,Number,NA
Nova Scotia,25 to 44,Males,Bipolar,Percent,NA
Nova Scotia,25 to 44,Males,Anxiety,Number,9646
Nova Scotia,25 to 44,Males,Anxiety,Percent,0.07
Nova Scotia,25 to 44,Males,Any Substance,Number,73325
Nova Scotia,25 to 44,Males,Any Substance,Percent,0.547
Nova Scotia,25 to 44,Males,Alcohol,Number,72564
Nova Scotia,25 to 44,Males,Alcohol,Percent,0.54
Nova Scotia,25 to 44,Males,Cannabis,Number,18719
Nova Scotia,25 to 44,Males,Cannabis,Percent,0.136
Nova Scotia,25 to 44,Males,Other,Number,7773
Nova Scotia,25 to 44,Males,Other,Percent,0.057
Nova Scotia,25 to 44,Males,Suicidal,Number,16092
Nova Scotia,25 to 44,Males,Suicidal,Percent,0.11599999999999999
Nova Scotia,25 to 44,Males,Good Mental Health,Number,83485
Nova Scotia,25 to 44,Males,Good Mental Health,Percent,0.602
Nova Scotia,25 to 44,Males,Poor Mental Health,Number,9256
Nova Scotia,25 to 44,Males,Poor Mental Health,Percent,0.067
Nova Scotia,25 to 44,Males,High Stress,Number,24628
Nova Scotia,25 to 44,Males,High Stress,Percent,0.235
Nova Scotia,25 to 44,Males,Low Stress,Number,30716
Nova Scotia,25 to 44,Males,Low Stress,Percent,0.293
Nova Scotia,25 to 44,Males,Needs Met,Number,8101
Nova Scotia,25 to 44,Males,Needs Met,Percent,0.057999999999999996
Nova Scotia,25 to 44,Males,Needs not Met,Number,NA
Nova Scotia,25 to 44,Males,Needs not Met,Percent,NA
Nova Scotia,25 to 44,Males,Accessed care (past year),Number,8984
Nova Scotia,25 to 44,Males,Accessed care (past year),Percent,0.065
Nova Scotia,25 to 44,Males,Psychosis,Number,NA
Nova Scotia,25 to 44,Males,Psychosis,Percent,NA
Nova Scotia,25 to 44,Males,PTSD,Number,NA
Nova Scotia,25 to 44,Males,PTSD,Percent,NA
Nova Scotia,25 to 44,Females,Any Disorder,Number,21967
Nova Scotia,25 to 44,Females,Any Disorder,Percent,0.15
Nova Scotia,25 to 44,Females,Depression,Number,18545
Nova Scotia,25 to 44,Females,Depression,Percent,0.127
Nova Scotia,25 to 44,Females,Bipolar,Number,NA
Nova Scotia,25 to 44,Females,Bipolar,Percent,NA
Nova Scotia,25 to 44,Females,Anxiety,Number,28242
Nova Scotia,25 to 44,Females,Anxiety,Percent,0.193
Nova Scotia,25 to 44,Females,Any Substance,Number,17073
Nova Scotia,25 to 44,Females,Any Substance,Percent,0.12
Nova Scotia,25 to 44,Females,Alcohol,Number,14988
Nova Scotia,25 to 44,Females,Alcohol,Percent,0.10400000000000001
Nova Scotia,25 to 44,Females,Cannabis,Number,NA
Nova Scotia,25 to 44,Females,Cannabis,Percent,NA
Nova Scotia,25 to 44,Females,Other,Number,NA
Nova Scotia,25 to 44,Females,Other,Percent,NA
Nova Scotia,25 to 44,Females,Suicidal,Number,19695
Nova Scotia,25 to 44,Females,Suicidal,Percent,0.135
Nova Scotia,25 to 44,Females,Good Mental Health,Number,85324
Nova Scotia,25 to 44,Females,Good Mental Health,Percent,0.5820000000000001
Nova Scotia,25 to 44,Females,Poor Mental Health,Number,14651
Nova Scotia,25 to 44,Females,Poor Mental Health,Percent,0.1
Nova Scotia,25 to 44,Females,High Stress,Number,31352
Nova Scotia,25 to 44,Females,High Stress,Percent,0.292
Nova Scotia,25 to 44,Females,Low Stress,Number,29300
Nova Scotia,25 to 44,Females,Low Stress,Percent,0.272
Nova Scotia,25 to 44,Females,Needs Met,Number,32619
Nova Scotia,25 to 44,Females,Needs Met,Percent,0.225
Nova Scotia,25 to 44,Females,Needs not Met,Number,NA
Nova Scotia,25 to 44,Females,Needs not Met,Percent,NA
Nova Scotia,25 to 44,Females,Accessed care (past year),Number,19802
Nova Scotia,25 to 44,Females,Accessed care (past year),Percent,0.135
Nova Scotia,25 to 44,Females,Psychosis,Number,NA
Nova Scotia,25 to 44,Females,Psychosis,Percent,NA
Nova Scotia,25 to 44,Females,PTSD,Number,NA
Nova Scotia,25 to 44,Females,PTSD,Percent,NA
Nova Scotia,45 to 64,Both,Any Disorder,Number,10709
Nova Scotia,45 to 64,Both,Any Disorder,Percent,0.071
Nova Scotia,45 to 64,Both,Depression,Number,10709
Nova Scotia,45 to 64,Both,Depression,Percent,0.07
Nova Scotia,45 to 64,Both,Bipolar,Number,NA
Nova Scotia,45 to 64,Both,Bipolar,Percent,NA
Nova Scotia,45 to 64,Both,Anxiety,Number,7837
Nova Scotia,45 to 64,Both,Anxiety,Percent,0.051
Nova Scotia,45 to 64,Both,Any Substance,Number,28479
Nova Scotia,45 to 64,Both,Any Substance,Percent,0.188
Nova Scotia,45 to 64,Both,Alcohol,Number,27973
Nova Scotia,45 to 64,Both,Alcohol,Percent,0.184
Nova Scotia,45 to 64,Both,Cannabis,Number,NA
Nova Scotia,45 to 64,Both,Cannabis,Percent,NA
Nova Scotia,45 to 64,Both,Other,Number,NA
Nova Scotia,45 to 64,Both,Other,Percent,NA
Nova Scotia,45 to 64,Both,Suicidal,Number,8564
Nova Scotia,45 to 64,Both,Suicidal,Percent,0.055
Nova Scotia,45 to 64,Both,Good Mental Health,Number,100536
Nova Scotia,45 to 64,Both,Good Mental Health,Percent,0.6509999999999999
Nova Scotia,45 to 64,Both,Poor Mental Health,Number,8895
Nova Scotia,45 to 64,Both,Poor Mental Health,Percent,0.057999999999999996
Nova Scotia,45 to 64,Both,High Stress,Number,NA
Nova Scotia,45 to 64,Both,High Stress,Percent,NA
Nova Scotia,45 to 64,Both,Low Stress,Number,14380
Nova Scotia,45 to 64,Both,Low Stress,Percent,0.5589999999999999
Nova Scotia,45 to 64,Both,Needs Met,Number,10725
Nova Scotia,45 to 64,Both,Needs Met,Percent,0.069
Nova Scotia,45 to 64,Both,Needs not Met,Number,NA
Nova Scotia,45 to 64,Both,Needs not Met,Percent,NA
Nova Scotia,45 to 64,Both,Accessed care (past year),Number,5384
Nova Scotia,45 to 64,Both,Accessed care (past year),Percent,0.035
Nova Scotia,45 to 64,Both,Psychosis,Number,NA
Nova Scotia,45 to 64,Both,Psychosis,Percent,NA
Nova Scotia,45 to 64,Both,PTSD,Number,NA
Nova Scotia,45 to 64,Both,PTSD,Percent,NA
Nova Scotia,45 to 64,Males,Any Disorder,Number,3589
Nova Scotia,45 to 64,Males,Any Disorder,Percent,0.052000000000000005
Nova Scotia,45 to 64,Males,Depression,Number,3589
Nova Scotia,45 to 64,Males,Depression,Percent,0.052000000000000005
Nova Scotia,45 to 64,Males,Bipolar,Number,NA
Nova Scotia,45 to 64,Males,Bipolar,Percent,NA
Nova Scotia,45 to 64,Males,Anxiety,Number,NA
Nova Scotia,45 to 64,Males,Anxiety,Percent,NA
Nova Scotia,45 to 64,Males,Any Substance,Number,21618
Nova Scotia,45 to 64,Males,Any Substance,Percent,0.318
Nova Scotia,45 to 64,Males,Alcohol,Number,21618
Nova Scotia,45 to 64,Males,Alcohol,Percent,0.318
Nova Scotia,45 to 64,Males,Cannabis,Number,NA
Nova Scotia,45 to 64,Males,Cannabis,Percent,NA
Nova Scotia,45 to 64,Males,Other,Number,NA
Nova Scotia,45 to 64,Males,Other,Percent,NA
Nova Scotia,45 to 64,Males,Suicidal,Number,4624
Nova Scotia,45 to 64,Males,Suicidal,Percent,0.066
Nova Scotia,45 to 64,Males,Good Mental Health,Number,44386
Nova Scotia,45 to 64,Males,Good Mental Health,Percent,0.634
Nova Scotia,45 to 64,Males,Poor Mental Health,Number,6142
Nova Scotia,45 to 64,Males,Poor Mental Health,Percent,0.08800000000000001
Nova Scotia,45 to 64,Males,High Stress,Number,NA
Nova Scotia,45 to 64,Males,High Stress,Percent,NA
Nova Scotia,45 to 64,Males,Low Stress,Number,10461
Nova Scotia,45 to 64,Males,Low Stress,Percent,0.545
Nova Scotia,45 to 64,Males,Needs Met,Number,4894
Nova Scotia,45 to 64,Males,Needs Met,Percent,0.07
Nova Scotia,45 to 64,Males,Needs not Met,Number,NA
Nova Scotia,45 to 64,Males,Needs not Met,Percent,NA
Nova Scotia,45 to 64,Males,Accessed care (past year),Number,NA
Nova Scotia,45 to 64,Males,Accessed care (past year),Percent,NA
Nova Scotia,45 to 64,Males,Psychosis,Number,NA
Nova Scotia,45 to 64,Males,Psychosis,Percent,NA
Nova Scotia,45 to 64,Males,PTSD,Number,NA
Nova Scotia,45 to 64,Males,PTSD,Percent,NA
Nova Scotia,45 to 64,Females,Any Disorder,Number,7120
Nova Scotia,45 to 64,Females,Any Disorder,Percent,0.086
Nova Scotia,45 to 64,Females,Depression,Number,7120
Nova Scotia,45 to 64,Females,Depression,Percent,0.085
